111122 11 1 1 2 2 4800 5965.14634146341 
121933 12 1 9 3 3 3650 7411.46875 
39825 3 9 8 2 5 4550 6107.12790697674 
144552 14 4 5 5 2 2700 9513.6875 
113745 11 3 7 4 5 3650 6371.71951219512 
115733 11 5 7 3 3 3800 6621.14285714286 
83313 8 3 3 1 3 5000 4749.7027027027 
109132 10 9 1 3 2 4000 6146.81481481481 
65944 6 5 9 4 4 3850 4238.75 
39241 3 9 2 4 1 4800 6047.33333333333 
48552 4 8 5 5 2 4150 4335.50819672131 
76631 7 6 6 3 1 4800 4246.52419354839 
58911 5 8 9 1 1 5050 4394.12195121951 
66741 6 6 7 4 1 4050 3607.46031746032 
135331 13 5 3 3 1 3600 8651.93181818182 
144723 14 4 7 2 3 3000 9369.69696969697 
63334 6 3 3 3 4 4600 4174.21951219512 
88311 8 8 3 1 1 4400 4734.66666666667 
114545 11 4 5 4 5 3650 6722.84722222222 
89833 8 9 8 3 3 3550 6179.28048780488 
61535 6 1 5 3 5 4800 4042.4126984127 
92822 9 2 8 2 2 4250 5674.65957446809 
29941 2 9 9 4 1 4900 5594.50574712644 
144545 14 4 5 4 5 2650 8667.55882352941 
85744 8 5 7 4 4 4000 5013.48598130841 
149135 14 9 1 3 5 2300 9203.97435897436 
141623 14 1 6 2 3 3500 8606.36363636364 
104324 10 4 3 2 4 4600 6004.47826086957 
149942 14 9 9 4 2 1850 8902.45454545455 
105935 10 5 9 3 5 4000 5554.85106382979 
64835 6 4 8 3 5 4100 4238.90076335878 
68155 6 8 1 5 5 3600 4531.36363636364 
76723 7 6 7 2 3 4800 4305.68907563025 
85423 8 5 4 2 3 4550 4670.62162162162 
132845 13 2 8 4 5 3200 7679.6862745098 
139825 13 9 8 2 5 2550 8374.45833333333 
83112 8 3 1 1 2 5150 4841.71844660194 
124155 12 4 1 5 5 3150 7462.76666666667 
49632 4 9 6 3 2 4250 5952.17582417582 
33845 3 3 8 4 5 5050 3511.7421875 
104935 10 4 9 3 5 4050 5612.04444444444 
69515 6 9 5 1 5 3950 6247.22580645161 
67954 6 7 9 5 4 3400 4359.75423728814 
96425 9 6 4 2 5 3750 5359.02127659574 
47431 4 7 4 3 1 4700 3548.94915254237 
74822 7 4 8 2 2 4950 4274.46902654867 
101411 10 1 4 1 1 5300 5698.88043478261 
105732 10 5 7 3 2 4350 5774.69318181818 
94834 9 4 8 3 4 3650 4934.41666666667 
95511 9 5 5 1 1 4350 5338.07 
37943 3 7 9 4 3 4650 4362.59649122807 
114135 11 4 1 3 5 4000 6360.85365853659 
86313 8 6 3 1 3 4650 4360.78761061947 
123325 12 3 3 2 5 3700 7428.78787878788 
33434 3 3 4 3 4 5500 3204.264 
148421 14 8 4 2 1 2650 8209.6 
134945 13 4 9 4 5 2850 7589.4347826087 
99214 9 9 2 1 4 3600 5998.44186046512 
57315 5 7 3 1 5 5350 3606.37096774194 
103754 10 3 7 5 4 4050 5698.94444444444 
41743 4 1 7 4 3 5100 3683.88059701493 
125551 12 5 5 5 1 3200 6788.91304347826 
39335 3 9 3 3 5 4700 6160.4 
147435 14 7 4 3 5 2450 9198.70588235294 
112715 11 2 7 1 5 4300 6089.43209876543 
47141 4 7 1 4 1 4700 3510.63970588235 
52345 5 2 3 4 5 5500 3524.65853658537 
137835 13 7 8 3 5 2750 8439.91111111111 
66422 6 6 4 2 2 4450 3793.39516129032 
58852 5 8 8 5 2 4400 4489.95726495726 
87552 8 7 5 5 2 3850 5046.45794392523 
116932 11 6 9 3 2 3550 6600.75324675325 
89521 8 9 5 2 1 4050 6090.06976744186 
114631 11 4 6 3 1 4000 6072.97368421053 
92611 9 2 6 1 1 4600 4910.00980392157 
