111122 11 1 1 2 2 4800 5965.14634146341 
121933 12 1 9 3 3 3650 7411.46875 
39825 3 9 8 2 5 4550 6107.12790697674 
144552 14 4 5 5 2 2700 9513.6875 
113745 11 3 7 4 5 3650 6371.71951219512 
115733 11 5 7 3 3 3800 6621.14285714286 
83313 8 3 3 1 3 5000 4749.7027027027 
109132 10 9 1 3 2 4000 6146.81481481481 
65944 6 5 9 4 4 3850 4238.75 
39241 3 9 2 4 1 4800 6047.33333333333 
48552 4 8 5 5 2 4150 4335.50819672131 
76631 7 6 6 3 1 4800 4246.52419354839 
58911 5 8 9 1 1 5050 4394.12195121951 
66741 6 6 7 4 1 4050 3607.46031746032 
135331 13 5 3 3 1 3600 8651.93181818182 
144723 14 4 7 2 3 3000 9369.69696969697 
63334 6 3 3 3 4 4600 4174.21951219512 
88311 8 8 3 1 1 4400 4734.66666666667 
114545 11 4 5 4 5 3650 6722.84722222222 
89833 8 9 8 3 3 3550 6179.28048780488 
61535 6 1 5 3 5 4800 4042.4126984127 
92822 9 2 8 2 2 4250 5674.65957446809 
29941 2 9 9 4 1 4900 5594.50574712644 
144545 14 4 5 4 5 2650 8667.55882352941 
85744 8 5 7 4 4 4000 5013.48598130841 
